"Submitted At","What's your primary role?","What environments do you use?","What agents are you currently using?","What destinations are you currently using?","What are the biggest pain points of your current agent setup?","If you consider adopting OpenTelemetry, why is that so?","If you are already adopting OpenTelemetry, what are you using?","If you started adopting OpenTelemetry, what are some reasons that slow you down or may cause you stop investing in it?",Score,PDFs,"Total Amount","Customer ID","IP Address",ID,"UTM Source","UTM Medium","UTM Campaign","UTM Term","UTM Content","Device Type"
"2022-08-02 06:02:04",Architect,On-premises,VMAgent,VictoriaMetrics,"Lack of correlation, It's a vendor-specific solution",Flexibility,"I build my own distro and or collector","What I need (like logs) is not yet fully available, The whole thing is complex and over-engineered",,,0," -",82.66.57.46,62e8bddcc1ea206d803d5bd9,o11y.news,email,,,,desktop
"2022-08-02 10:47:54","Developer, Architect","AWS, Azure, Google Cloud, On-premises","Azure Monitor agent, OpenTelemetry collector","Azure Monitoring, Prometheus","It's a vendor-specific solution","Reduce vendor lock-in","I use the upstream distro and collector","What I need (like logs) is not yet fully available, Lack of documentation and/or tutorials available",,,0," -",141.134.132.243,62e900daf8452c4040758a80,,,,,,mobile
"2022-08-02 10:48:43",Architect,AWS,"X-Ray Agent, CloudWatch Agent","CloudWatch, Sumologic","It's a vendor-specific solution, Lack of correlation",Flexibility,"I use a vendor distro (AWS, etc.)","The whole thing is complex and over-engineered",,,0," -",97.70.107.201,62e9010b2e2c74730a7bbed6,,,,,,mobile
"2022-08-02 10:49:05","Developer, SRE/devops role",,Datadog,Datadog,"It's a vendor-specific solution","Reduce vendor lock-in",,,,,0," -",87.154.219.221,62e901213e3c9b13441dfd0b,,,,,,mobile
"2022-08-02 10:51:02",Sysadmin,"AWS, On-premises","Azure Monitor agent, CloudWatch Agent, Logstash, Beats, Custom JMX","CloudWatch, OpenSearch, Elasticsearch","It's a vendor-specific solution","Because it's an industry standard",,,,,0," -",90.243.232.8,62e90196b22c31563a60ada2,,,,,,desktop
"2022-08-02 10:53:19","Developer, Architect",AWS,"None, native logging and metrics","Honeycomb, Splunk, CloudWatch","Lack of correlation",Flexibility,"I build my own distro and or collector","Lack of documentation and/or tutorials available",,,0," -",154.14.236.206,62e9021ff249dc039e0a1bf2,,,,,,desktop
"2022-08-02 10:53:57",Architect,,"OpenTelemetry collector, Promtail","Prometheus, Jaeger, Grafana Loki","Lack of correlation","Because it's an industry standard","I use the upstream distro and collector","Lack of documentation and/or tutorials available, The software (collector, SDKs, etc.) are not stable enough, The whole thing is complex and over-engineered, I don't know where or how to start",,,0," -",87.154.219.221,62e90245e9b84b01342d04b0,,,,,,mobile
"2022-08-02 10:58:03",Developer,"Google Cloud","Grafana Agent","Prometheus, Grafana Cloud","Too much data","We don't ",,"The whole thing is complex and over-engineered",,,0," -",213.32.243.114,62e9033b6dc20c3b377e9240,,,,,,mobile
"2022-08-02 11:04:22",Architect,AWS,"CloudWatch Agent, Fluentd","CloudWatch, Splunk, Prometheus, Cortex/Thanos (or managed service), Datadog, Dynatrace","Lack of correlation, Too many agents (one for logs, one for metrics, one for traces, etc.)","Reduce vendor lock-in",,"I don't know where or how to start",,,0," -",176.25.215.246,62e904b62e2c74730a7bbf3f,,,,,,mobile
"2022-08-02 11:07:38","Developer, Architect","AWS, On-premises","Fluent Bit, Beats, CloudWatch Agent, OpenTelemetry collector","CloudWatch, Elasticsearch, OpenSearch, Prometheus","Too many agents (one for logs, one for metrics, one for traces, etc.), Lack of correlation","Because it's an industry standard","I use the upstream distro and collector","The whole thing is complex and over-engineered, Lack of documentation and/or tutorials available",,,0," -",223.225.44.47,62e9057a7407940743254112,,,,,,mobile
"2022-08-02 11:11:20",Developer,AWS,"X-Ray Agent",CloudWatch,"Lack of correlation, Too many agents (one for logs, one for metrics, one for traces, etc.)","Because X-Ray SDK is going away","I use a vendor distro (AWS, etc.)","Lack of documentation and/or tutorials available, The software (collector, SDKs, etc.) are not stable enough, What I need (like logs) is not yet fully available, It's hard to get help or find answers (on Slack, StackOverflow), The whole thing is complex and over-engineered, I don't know where or how to start",,,0," -",83.85.86.131,62e906582a543005aa2f0e09,,,,,,desktop
"2022-08-02 11:16:44",Architect,AWS,"OpenTelemetry collector",Honeycomb,"Api is too complex for newbies","Because it's an industry standard","I build my own distro and or collector","Lack of documentation and/or tutorials available",,,0," -",104.28.90.36,62e9079cd8ba8075e00ef5fc,,,,,,desktop
"2022-08-02 11:19:10",Architect,AWS,"Fluentd, Fluent Bit, CloudWatch Agent, X-Ray Agent","CloudWatch, Prometheus","It's a vendor-specific solution, Too many agents (one for logs, one for metrics, one for traces, etc.)","Reduce vendor lock-in",,"Lack of documentation and/or tutorials available, The software (collector, SDKs, etc.) are not stable enough, I don't know where or how to start, What I need (like logs) is not yet fully available",,,0," -",199.7.156.250,62e9082ee9b84b01342d0544,,,,,,mobile
"2022-08-02 11:36:49","Test/QA engineer","Google Cloud, Red Hat OpenShift","OpenTelemetry collector, Jaeger","Prometheus, Elasticsearch, OpenSearch","Too many agents (one for logs, one for metrics, one for traces, etc.), Lack of correlation",Flexibility,"I build my own distro and or collector","It's hard to get help or find answers (on Slack, StackOverflow)",,,0," -",92.191.20.94,62e90c5104ea2147e3048b10,,,,,,desktop
"2022-08-02 11:43:31","SRE/devops role, Architect","Google Cloud","Fluentd, Google Cloud Ops agent, OpenTelemetry collector",Datadog,"It's a vendor-specific solution","Because it's an industry standard","I use the upstream distro and collector","Lack of documentation and/or tutorials available, It's hard to get help or find answers (on Slack, StackOverflow), The whole thing is complex and over-engineered",,,0," -",49.36.16.22,62e90de3c4a6fa2a576223dd,,,,,,mobile
"2022-08-02 11:55:57",Architect,AWS,"CloudWatch Agent, OpenTelemetry collector","Honeycomb, CloudWatch","None, I am pretty happy with it","Because it's an industry standard","I use the upstream distro and collector","The software (collector, SDKs, etc.) are not stable enough",,,0," -",86.121.144.19,62e910cdd6f3c064512ccf8f,o11y.news,email,,,,desktop
"2022-08-02 12:04:21",Developer,Azure,"OpenTelemetry collector",Honeycomb,"Lack of correlation",Flexibility,"I use the upstream distro and collector","Lack of documentation and/or tutorials available, The software (collector, SDKs, etc.) are not stable enough",,,0," -",108.81.101.183,62e912c5bf0a466929147e04,,,,,,mobile
"2022-08-02 12:09:20",Developer,"Google Cloud","OpenTelemetry collector","Cortex/Thanos (or managed service), Jaeger","It's a vendor-specific solution, Lack of correlation, Too many agents (one for logs, one for metrics, one for traces, etc.)","Because it's an industry standard","I use the upstream distro and collector","The whole thing is complex and over-engineered",,,0," -",91.64.246.194,62e913f0b8e18105631acbd5,,,,,,desktop
"2022-08-02 12:16:33",Developer,"AWS, Google Cloud","OpenTelemetry collector",Datadog,"Lack of correlation, It's a vendor-specific solution","Reduce vendor lock-in","I use the upstream distro and collector","What I need (like logs) is not yet fully available, Lack of documentation and/or tutorials available",,,0," -",107.133.177.222,62e915a11ed19f1ff71aa4fc,,,,,,mobile
"2022-08-02 12:20:48",Developer,AWS,"CloudWatch Agent, X-Ray Agent",CloudWatch,"Query language ","Because it's an industry standard",None,"I don't know where or how to start",,,0," -",109.109.204.162,62e916a07ab9bd6be20053ad,,,,,,mobile
"2022-08-02 12:21:33","Developer, Sysadmin, Architect",OCI,Logstash,Elasticsearch,"Lack of correlation, Too many agents (one for logs, one for metrics, one for traces, etc.)","Because it's an industry standard",,,,,0," -",38.39.169.168,62e916cde97aed7e44006f44,,,,,,mobile
"2022-08-02 12:29:32",Developer,AWS,"Fluentd, OpenTelemetry collector","Prometheus, Cortex/Thanos (or managed service), Tempo, Loki","Lack of correlation","Reduce vendor lock-in","I use the upstream distro and collector","What I need (like logs) is not yet fully available, Lack of documentation and/or tutorials available, The whole thing is complex and over-engineered",,,0," -",82.132.214.238,62e918ac4e6d9d3e78050bb5,,,,,,mobile
"2022-08-02 12:33:36",Architect,On-premises,"None. Using local linux appliance facilities.","None. Custom log aggregation through MariaDB.","Lack of correlation, It's a vendor-specific solution, No consistency across app components, languages, pathways (file, network, etc.).","Because it's an industry standard",,"The software (collector, SDKs, etc.) are not stable enough, What I need (like logs) is not yet fully available",,,0," -",76.230.159.11,62e919a03be1cd5bd7440864,,,,,,desktop
"2022-08-02 12:34:11","SRE/devops role","Azure, On-premises","OpenTelemetry collector","Splunk, Elasticsearch, Prometheus, Honeycomb","Too many agents (one for logs, one for metrics, one for traces, etc.), It's a vendor-specific solution",,"I build my own distro and or collector","What I need (like logs) is not yet fully available",,,0," -",84.247.44.28,62e919c33985367bbe514ec7,o11y.news,email,,,,mobile
"2022-08-02 12:41:34","Architect, SRE/devops role","AWS, On-premises","CloudWatch Agent, Splunk forwarder","CloudWatch, Splunk, OpenSearch","Lack of correlation","Reduce vendor lock-in","I use the upstream distro and collector","What I need (like logs) is not yet fully available, I don't know where or how to start",,,0," -",181.170.82.151,62e91b7e76a7691cb9755c0a,,,,,,desktop
"2022-08-02 13:03:01",Manager,"AWS, Google Cloud","OpenTelemetry collector","Splunk, New Relic","It's a vendor-specific solution, Lack of correlation, Breaking changes introduced by vendor agents is incompatible with dependency management practices that auto-upgrade dependencies that include SEMVER patch or minor versions.","Looking to align logging, metrics and tracing standards and conventions throughout our codebase and teams","I use the upstream distro and collector","What I need (like logs) is not yet fully available, Missing functionality or incompatible with vendors: We're looking to replace vendor agents with OTEL agents, but the feature set is currently better with vendors.",,,0," -",129.222.142.123,62e92085c598634fc54f6134,,,,,,desktop
"2022-08-02 13:19:38","SRE/devops role",AWS,"OpenTelemetry collector",Honeycomb,"Lack of advanced filtering and tail-sampling capabilities; lack of clustering of collectors.",,"I use the upstream distro and collector","Integrations for AWS Lambda (esp. Java) are of low technical quality and are not native.",,,0," -",2.205.37.250,62e9246ae240083b7f6431c6,,,,,,desktop
"2022-08-02 13:24:53",Developer,OpenShift,"OpenTelemetry collector",memory,"problems with versions and configurations","Because it's an industry standard","Upstream and Red Hat Distributed tracing","The software (collector, SDKs, etc.) are not stable enough",,,0," -",177.37.134.221,62e925a56fc1ac676350a236,,,,,,desktop
"2022-08-02 13:52:31",Architect,"Google Cloud, On-premises","In house collector","Elasticsearch, Jaeger","Getting common Companywide propagation format for existing pre-W3C using services","Because it's an industry standard",,"Interop with our existing OpenTracing instrumented libraries",,,0," -",72.219.155.36,62e92c1f6241cf7b5d521e8c,,,,,,mobile
"2022-08-02 14:05:37",Manager,"Google Cloud, AWS, Azure, On-premises","OpenTelemetry collector, Logstash","Dynatrace, Datadog, Prometheus","Many FOSS projects are yet to adopt it","Because it's an industry standard","I use the upstream distro and collector","Lack of documentation and/or tutorials available, What I need (like logs) is not yet fully available",,,0," -",31.10.168.225,62e92f31c8ed7574b104ddbd,,,,,,desktop
"2022-08-02 15:28:21",Developer,AWS,"Logstash, Beats, OpenTelemetry collector",Datadog,"It's a vendor-specific solution, Opentelemetry agent / collector is not prod ready",Flexibility,"I use the upstream distro and collector","Lack of documentation and/or tutorials available, The software (collector, SDKs, etc.) are not stable enough, What I need (like logs) is not yet fully available",,,0," -",92.82.11.92,62e942956b3f272156467901,,,,,,mobile
"2022-08-02 16:33:15",Architect,"AWS, On-premises","Fluentd, Fluent Bit, Logstash, OpenTelemetry collector","Prometheus, Jaeger, AppD, Epsagon (Cisco)","Too many agents (one for logs, one for metrics, one for traces, etc.), Lack of correlation",Flexibility,"I use the upstream distro and collector","Lack of documentation and/or tutorials available, What I need (like logs) is not yet fully available, The software (collector, SDKs, etc.) are not stable enough",,,0," -",73.34.154.104,62e951cb4a35a700880e1f1e,,,,,,desktop
"2022-08-02 16:37:25","SRE/devops role",AWS,"X-Ray Agent, CloudWatch Agent, OpenTelemetry collector",CloudWatch,"Too many agents (one for logs, one for metrics, one for traces, etc.)",Flexibility,"I build my own distro and or collector","What I need (like logs) is not yet fully available, Lack of documentation and/or tutorials available",,,0," -",52.94.36.30,62e952c520bd9a2d5149bd28,,,,,,desktop
"2022-08-02 19:53:29",Developer,"Google Cloud","Google Cloud legacy agent, Logstash, New Relic","Elasticsearch, Google Ops, New Relic","It's a vendor-specific solution, Too many agents (one for logs, one for metrics, one for traces, etc.), Enterprise pricing of current agent setup.","Because it's an industry standard",,"The software (collector, SDKs, etc.) are not stable enough, What I need (like logs) is not yet fully available, Lack of documentation and/or tutorials available, The whole thing is complex and over-engineered, I don't know where or how to start",,,0," -",206.255.198.176,62e980b9801f8844460081b3,,,,,,desktop
"2022-08-02 21:09:56",Developer,AWS,"X-Ray Agent","CloudWatch, AWS Xray","It's a vendor-specific solution, Hard to do anything with the collected trace data ","The ability to do more with my telemetry data",,,,,0," -",148.252.129.164,62e992a44dd0d64b620674dc,,,,,,mobile
"2022-08-02 23:07:30","SRE/devops role",On-premises,"Prometheus node exporter, syslog-ng","Prometheus, Cortex/Thanos (or managed service)","Lack of correlation","Because it's an industry standard",,"What I need (like logs) is not yet fully available, I don't know where or how to start",,,0," -",8.39.18.187,62e9ae324929411eb12dc118,,,,,,desktop
"2022-08-03 05:36:36",Manager,AWS,"CloudWatch Agent",CloudWatch,"Lack of correlation",Flexibility,,"I don't know where or how to start",,,0," -",181.47.118.117,62ea096456a3309c310ebd79,,,,,,mobile
"2022-08-03 05:39:38",Developer,AWS,"CloudWatch Agent, X-Ray Agent, OpenTelemetry collector",CloudWatch,"It's a vendor-specific solution","Reduce vendor lock-in","I use a vendor distro (AWS, etc.)","Lack of documentation and/or tutorials available, The software (collector, SDKs, etc.) are not stable enough, It's hard to get help or find answers (on Slack, StackOverflow)",,,0," -",88.22.137.64,62ea0a1a8f691809630e263a,,,,,,mobile
"2022-08-03 05:47:14",Developer,"Google Cloud","Fluent Bit, OpenTelemetry collector","Elasticsearch, Prometheus, Honeycomb","Too many agents (one for logs, one for metrics, one for traces, etc.)","Reduce vendor lock-in","I build my own distro and or collector","The whole thing is complex and over-engineered, What I need (like logs) is not yet fully available, The software (collector, SDKs, etc.) are not stable enough",,,0," -",2.203.156.213,62ea0be230a14da21006f0af,,,,,,desktop
"2022-08-03 06:38:16","SRE/devops role",AWS,"Fluent Bit, OpenTelemetry collector",NewRelic,"It's a vendor-specific solution, Too many agents (one for logs, one for metrics, one for traces, etc.), Lack of correlation",Flexibility,"I use the upstream distro and collector","The software (collector, SDKs, etc.) are not stable enough, What I need (like logs) is not yet fully available",,,0," -",106.51.240.11,62ea17d811b0bc030408a5c5,,,,,,desktop
"2022-08-03 06:51:36","SRE/devops role",AWS,"Fluent Bit, Logstash, Collectd telegraf ","CloudWatch, Elasticsearch","Too many agents (one for logs, one for metrics, one for traces, etc.), Lack of correlation","Because it's an industry standard",,"What I need (like logs) is not yet fully available",,,0," -",62.31.12.203,62ea1af8ac02c0ea56031055,,,,,,mobile
"2022-08-03 06:53:33","SRE/devops role","AWS, Azure","Fluent Bit, OpenTelemetry collector","Elasticsearch, Prometheus","Too many agents (one for logs, one for metrics, one for traces, etc.), Lack of correlation","Reduce vendor lock-in","I use the upstream distro and collector","What I need (like logs) is not yet fully available, Lack of documentation and/or tutorials available",,,0," -",103.86.183.47,62ea1b6d6c740e4d460b79e8,,,,,,mobile
"2022-08-03 07:59:28","SRE/devops role",AWS,"OpenTelemetry collector","NewRelic and SumoLogic","It's a vendor-specific solution","Reduce vendor lock-in","I use a vendor distro (AWS, etc.)","The software (collector, SDKs, etc.) are not stable enough, Lack of documentation and/or tutorials available",,,0," -",37.228.255.120,62ea2ae0ac02c0ea56031156,,,,,,desktop
"2022-08-03 08:52:58",Architect,AWS,"Fluentd, Fluent Bit, CloudWatch Agent, OpenTelemetry collector",LogicMonitor,"Too many agents (one for logs, one for metrics, one for traces, etc.)","Reduce vendor lock-in","I build my own distro and or collector","The software (collector, SDKs, etc.) are not stable enough, What I need (like logs) is not yet fully available, I don't know where or how to start",,,0," -",122.162.253.69,62ea376a6ba512b44b0e52f6,,,,,,desktop
"2022-08-03 09:59:27","SRE/devops role",AWS,"Fluentd, OpenTelemetry collector, promtail","Datadog, Loki","Too many agents (one for logs, one for metrics, one for traces, etc.)","Because it's an industry standard","I use the upstream distro and collector","The software (collector, SDKs, etc.) are not stable enough, It's hard to get help or find answers (on Slack, StackOverflow), Datadog is not fully compatible with Opentelemetry Collector and instrumentation. There are some features only available if use Datadog agents. Secondly, Opentelemetry collector receivers are not stable enough and lack of documentation is a problem for me.",,,0," -",188.119.40.242,62ea46ff9182bae38f002b5b,,,,,,desktop
"2022-08-03 10:49:15",CTO,"AWS, Azure","Fluent Bit, OpenTelemetry collector, Beats, Nagios","Prometheus, OpenSearch, Logz.io","Too many agents (one for logs, one for metrics, one for traces, etc.)",Flexibility,"I build my own distro and or collector","What I need (like logs) is not yet fully available, It's hard to get help or find answers (on Slack, StackOverflow), The whole thing is complex and over-engineered",,,0," -",207.42.135.148,62ea52ab2bddbaaac70c7b93,,,,,,desktop
"2022-08-03 11:20:25","SRE/devops role","AWS, Google Cloud, On-premises","Fluentd, Logstash, CloudWatch Agent, X-Ray Agent, Google Cloud Ops agent, OpenTelemetry collector","CloudWatch, Google Ops, Elasticsearch, Prometheus, Datadog, Cortex/Thanos (or managed service), Newrelic","It's a vendor-specific solution, Lack of correlation","Because it's an industry standard","I use a vendor distro (AWS, etc.)","Lack of documentation and/or tutorials available, The software (collector, SDKs, etc.) are not stable enough",,,0," -",186.86.34.49,62ea59f921af70157e08f62c,,,,,,mobile
"2022-08-03 11:43:48",Manager,On-premises,"OpenTelemetry collector","Dynatrace, Prometheus, Jaeger",-,"Because it's an industry standard",-,"The whole thing is complex and over-engineered",,,0," -",157.25.19.100,62ea5f7420b5a8f8940d1a47,,,,,,desktop
"2022-08-03 12:57:18",Manager,AWS,"OpenTelemetry collector, Promtail","Prometheus, Cortex/Thanos (or managed service)","Too many agents (one for logs, one for metrics, one for traces, etc.)","Because it's an industry standard","I use the upstream distro and collector","The software (collector, SDKs, etc.) are not stable enough",,,0," -",183.90.36.148,62ea70aee9bb9744ed049901,,,,,,mobile
"2022-08-03 12:57:55",Developer,"AWS, On-premises","OpenTelemetry collector","Prometheus, In-house solution","Lack of correlation","Because it's an industry standard","I use the upstream distro and collector","Lack of documentation and/or tutorials available, The software (collector, SDKs, etc.) are not stable enough, The whole thing is complex and over-engineered",,,0," -",84.157.207.94,62ea70d3748cbe2ddb0225fe,o11y.news,email,,,,desktop
"2022-08-03 13:20:26",Developer,"Google Cloud",datadog,Datadog,"It's a vendor-specific solution","Reduce vendor lock-in",,,,,0," -",73.250.217.38,62ea761a5726e4240b0dc6ff,,,,,,desktop
"2022-08-03 13:44:56",Developer,AWS,"OpenTelemetry collector, CloudWatch Agent","Honeycomb, Prometheus","Too many agents (one for logs, one for metrics, one for traces, etc.)","Because it's an industry standard","I use the upstream distro and collector","Lack of documentation and/or tutorials available, What I need (like logs) is not yet fully available, The whole thing is complex and over-engineered",,,0," -",71.231.11.213,62ea7bd8fd6e8eaa1400df50,,,,,,mobile
"2022-08-03 13:53:33",Developer,"AWS, On-premises",Fluentd,"Honeycomb, Loki","Lack of correlation, Too many agents (one for logs, one for metrics, one for traces, etc.)","Reduce vendor lock-in","I use the SDK's OTLP exporter with Honeycomb's endpoint, no separate collector.","What I need (like logs) is not yet fully available, Silent errors, for example default span event limits. And, lack of support in specific frameworks, namely trace context propagation between Dagster ops.",,,0," -",130.44.156.103,62ea7ddde7931360a104f00f,,,,,,desktop
"2022-08-03 13:57:24","SRE/devops role",AWS,"Fluent Bit, CloudWatch Agent, OpenTelemetry collector","Honeycomb, Cortex/Thanos (or managed service), Prometheus, CloudWatch","Too many agents (one for logs, one for metrics, one for traces, etc.)","Because it's an industry standard","I use the upstream distro and collector","Lack of documentation and/or tutorials available, It's hard to get help or find answers (on Slack, StackOverflow)",,,0," -",104.28.129.24,62ea7ec48bd955480e06e99b,,,,,,mobile
"2022-08-03 14:17:28",Developer,AWS,"OpenTelemetry collector, Fluent Bit","Honeycomb, Datadog, Prometheus","Lack of good tail sampling, it's hard to size collectors for bursts of telemetry and sometimes it gets dropped, lack of detailed attributes in java instrumentation (it's good but there could be loads more for things like kafka e.g. consumer group generation id, producer epoch etc.)","Reduce vendor lock-in","I use the upstream distro and collector","Lack of documentation and/or tutorials available, What I need (like logs) is not yet fully available",,,0," -",81.105.232.93,62ea8378a85d108120093b53,,,,,,desktop
"2022-08-03 17:06:37",Developer,"AWS, On-premises","X-Ray Agent, CloudWatch Agent, Python, Go","CloudWatch, Lightstep, SigNoz",Documentation,"Because it's an industry standard","I use a vendor distro (AWS, etc.)","I don't know where or how to start, Lack of documentation and/or tutorials available",,,0," -",98.114.62.163,62eaab1db89259bfbe0f0d11,,,,,,desktop
"2022-08-03 17:35:48",Developer,"AWS, Google Cloud","OpenTelemetry collector","Prometheus, Datadog, Honeycomb","Complicated configuration","Reduce vendor lock-in","I use the upstream distro and collector","The whole thing is complex and over-engineered, I don't know where or how to start",,,0," -",46.121.224.30,62eab1f48648e8eb0d0b0397,,,,,,mobile
"2022-08-04 05:43:50","SRE/devops role, Developer",AWS,"OpenTelemetry collector, Promtail","Honeycomb, Prometheus, Cortex/Thanos (or managed service), Loki","Too many agents (one for logs, one for metrics, one for traces, etc.), Lack of correlation","Because it's an industry standard","I use the upstream distro and collector","The whole thing is complex and over-engineered, Lack of documentation and/or tutorials available, It's hard to get help or find answers (on Slack, StackOverflow)",,,0," -",92.247.229.245,62eb5c96e060f0cb1a011d92,,,,,,desktop
"2022-08-04 08:19:20","SRE/devops role",AWS,"Fluent Bit, OpenTelemetry collector, Promtail","Honeycomb, Cortex/Thanos (or managed service), Prometheus","Too many agents (one for logs, one for metrics, one for traces, etc.), Lack of correlation",Flexibility,"I use the upstream distro and collector","What I need (like logs) is not yet fully available, The software (collector, SDKs, etc.) are not stable enough",,,0," -",95.91.244.78,62eb8108b528521e690f909c,,,,,,desktop
"2022-08-04 09:01:59",Developer,AWS,"OpenTelemetry collector",Honeycomb,"Lack of correlation","Because it's an industry standard","I use the upstream distro and collector","The software (collector, SDKs, etc.) are not stable enough, What I need (like logs) is not yet fully available",,,0," -",37.201.153.200,62eb8b072dbe26e2e804e956,,,,,,desktop
"2022-08-04 14:33:45",Developer,"Google Cloud, On-premises","Fluentd, Fluent Bit, OpenTelemetry collector","Elasticsearch, Prometheus, Lightstep, Grafana","Too many agents (one for logs, one for metrics, one for traces, etc.), Lack of correlation, It's a vendor-specific solution","Because it's an industry standard","I build my own distro and or collector","getting acceptance to use it from other teams / management (because it's ""too new"")",,,0," -",90.3.81.252,62ebd8c9e01d4aef2a0537a7,o11y.news,email,,,,desktop
"2022-08-04 21:01:47","SRE/devops role",AWS,"Fluentd, Logstash, CloudWatch Agent, Beats, X-Ray Agent, OpenTelemetry collector","CloudWatch, Prometheus, Datadog, Cortex/Thanos (or managed service), Splunk","Lack of correlation, Too many agents (one for logs, one for metrics, one for traces, etc.)",,"I use a vendor distro (AWS, etc.)","Lack of documentation and/or tutorials available, The software (collector, SDKs, etc.) are not stable enough, It's hard to get help or find answers (on Slack, StackOverflow)",,,0," -",205.251.233.104,62ec33bb68073b32f30f6997,,,,,,desktop
"2022-08-05 04:51:27","SRE/devops role","Google Cloud","OpenTelemetry collector, Datadog agent",Datadog,"It's a vendor-specific solution, Lack of correlation",Flexibility,"I use the upstream distro and collector","Lack of documentation and/or tutorials available, I don't know where or how to start, Existing partial implementation with vendor specific solutions, not clear how to integrate them",,,0," -",68.20.16.132,62eca1cfb834e28775004534,,,,,,mobile
"2022-08-05 11:21:53",Sysadmin,"AWS, On-premises","Logstash, Beats, X-Ray Agent, CloudWatch Agent","CloudWatch, Elasticsearch, Prometheus, Datadog, Zabbix, Icinga","Lack of correlation, Too many agents (one for logs, one for metrics, one for traces, etc.), It's a vendor-specific solution","Because it's an industry standard",,,,,0," -",109.125.101.122,62ecfd51c145eeed290fb21b,,,,,,mobile
